name,n_angles,angles_range,sampling_frecuency,aperture_width,element_width,pitch,image_depth,type,source,set,path,RF,IQ,n_samples,n_channels,zlims,center_frecuency
MYO001,75,"[-16, 16]",28.96,38.4,0.27,0.3,63.8,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO001.hdf5,1,1,2688,128,"[5e-3, 55e-3]",6.25
MYO002,75,"[-16, 16]",28.96,38.4,0.27,0.3,63.8,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO002.hdf5,1,1,2688,128,"[5e-3, 55e-3]",6.25
MYO003,75,"[-16, 16]",28.96,38.4,0.27,0.3,63.8,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO003.hdf5,1,1,2688,128,"[5e-3, 55e-3]",6.25
MYO004,75,"[-16, 16]",28.96,38.4,0.27,0.3,63.8,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO004.hdf5,1,1,2688,128,"[5e-3, 55e-3]",6.25
MYO005,75,"[-16, 16]",28.96,38.4,0.27,0.3,63.8,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/MYO005.hdf5,1,1,2688,128,"[5e-3, 55e-3]",6.25
UFL001,75,"[-15, 15]",78.125,31.36,0.215,0.245,50.0,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL001.hdf5,1,1,4480,128,"[10e-3, 35e-3]",8.0
UFL002,75,"[-15, 15]",78.125,31.36,0.215,0.245,50.0,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL002.hdf5,1,1,4480,128,"[10e-3, 35e-3]",8.0
UFL004,75,"[-15, 15]",78.125,31.36,0.215,0.245,50.0,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL004.hdf5,1,1,4480,128,"[10e-3, 35e-3]",8.0
UFL005,75,"[-15, 15]",78.125,31.36,0.215,0.245,50.0,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/UFL005.hdf5,1,1,4480,128,"[10e-3, 35e-3]",8.0
EUT003,75,"[-16, 16]",12.5,20.3,0.25,0.254,100.0,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/EUT003.hdf5,1,1,1664,80,"[10e-3, 80e-3]",3.125
EUT006,75,"[-16, 16]",12.5,20.3,0.25,0.254,100.0,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/EUT006.hdf5,1,1,1664,80,"[10e-3, 80e-3]",3.125
INS004,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS004.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS006,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS006.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS008,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS008.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS015,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS015.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
